,p_val,avg_log2FC,pct_1,pct_2,p_val_adj,clusterName,gene
2368,3.14868135071465e-137,0.581395223,0.349,0.184,6.83326826732093e-133,Cortex,Solyc04g077670
2369,2.54055338839162e-67,0.580521997,0.556,0.478,5.51350896348749e-63,Cortex,Solyc04g082140
2370,1.71170767312114e-216,0.578605702,0.312,0.12,3.71474799220751e-212,Cortex,Solyc07g005440
2371,3.71031709650084e-74,0.575006302,0.624,0.583,8.05213016282613e-70,Cortex,Solyc02g067180
2372,3.57967434694514e-48,0.568760649,0.391,0.302,7.76860926774034e-44,Cortex,Solyc03g082720
2373,4.55619147652437e-90,0.566903941,0.68,0.676,9.88784674235319e-86,Cortex,Solyc09g010520
2374,4.29985406749658e-97,0.566147166,0.756,0.718,9.33154329728108e-93,Cortex,Solyc01g100970
2375,3.65193766396553e-59,0.565915622,0.546,0.479,7.925435118338e-55,Cortex,Solyc01g108680
2376,4.3455138801365e-34,0.564191397,0.536,0.507,9.43063422267222e-30,Cortex,Solyc06g073460
2377,1.10330835128928e-22,0.561795122,0.352,0.292,2.394399783968e-18,Cortex,Solyc02g085730
2378,2.99393211002929e-57,0.561423059,0.651,0.627,6.49743146518556e-53,Cortex,Solyc11g010470
2379,1.57173228389799e-80,0.55866505,0.394,0.272,3.41097340251541e-76,Cortex,Solyc09g082990
2380,1.34148787951921e-48,0.558052731,0.541,0.487,2.9112969961326e-44,Cortex,Solyc10g081720
2381,1.30119899982904e-75,0.55277495,0.712,0.713,2.82386206942898e-71,Cortex,Solyc01g009420
2382,8.8073627541002e-70,0.552640131,0.531,0.468,1.91137386489483e-65,Cortex,Solyc02g068530
2383,5.48182507835339e-119,0.552536527,0.727,0.704,1.18966567850425e-114,Cortex,Solyc01g006430
2384,9.36457331339061e-51,0.551147499,0.349,0.26,2.03229970047203e-46,Cortex,Solyc05g056000
2385,4.08214856542878e-198,0.545380457,0.86,0.815,8.85907881669354e-194,Cortex,Solyc02g084360
2386,2.06342764681554e-41,0.543749872,0.359,0.271,4.47805067911908e-37,Cortex,Solyc05g041910
2387,3.95160089247835e-43,0.541998128,0.62,0.603,8.57576425685651e-39,Cortex,Solyc02g094130
2388,8.75557286949648e-40,0.541849815,0.545,0.547,1.90013442413813e-35,Cortex,Solyc01g106580
2389,1.76340511765683e-27,0.538714343,0.525,0.517,3.82694178633885e-23,Cortex,Solyc11g011020
2390,9.40970506486e-72,0.53821457,0.734,0.68,2.04209419317592e-67,Cortex,Solyc07g006280
