"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
1.93342085067244e-133,0.602499017591559,0.859,0.769,4.19590993012933e-129,"EXO_iCOR1","Solyc12g098150"
1.91151212733686e-73,0.600601373094083,0.507,0.341,4.14836361874646e-69,"EXO_iCOR1","Solyc06g009510"
2.266458790044e-63,0.596007769284123,0.647,0.585,4.91866886615348e-59,"EXO_iCOR1","Solyc02g067180"
1.2699463844188e-91,0.593342590267694,0.799,0.751,2.75603764346568e-87,"EXO_iCOR1","Solyc09g098540"
1.41179948063808e-66,0.592558606447451,0.697,0.66,3.06388723288077e-62,"EXO_iCOR1","Solyc08g061100"
1.51104575566327e-40,0.590976119203664,0.566,0.489,3.27927149894044e-36,"EXO_iCOR1","Solyc10g081720"
2.89090831066215e-75,0.588652969128517,0.664,0.542,6.273849215799e-71,"EXO_iCOR1","Solyc04g051820"
1.0839166747851e-44,0.585523427170232,0.616,0.57,2.35231596761863e-40,"EXO_iCOR1","Solyc02g077220"
3.98796467445015e-49,0.576653483570052,0.63,0.578,8.65468093649172e-45,"EXO_iCOR1","Solyc02g093640"
1.20719455299716e-128,0.576195807923105,0.912,0.844,2.61985361891444e-124,"EXO_iCOR1","Solyc09g010800"
4.67755886958864e-71,0.574204737576001,0.658,0.585,1.01512382587813e-66,"EXO_iCOR1","Solyc01g101040"
1.73970871766259e-91,0.574183152471848,0.828,0.755,3.77551585907136e-87,"EXO_iCOR1","Solyc07g005720"
3.40046771978662e-173,0.572794474269474,0.967,0.918,7.37969504548093e-169,"EXO_iCOR1","Solyc05g053810"
4.79899475443521e-44,0.571105122586803,0.555,0.5,1.04147784160753e-39,"EXO_iCOR1","Solyc06g083310"
3.40668925352903e-37,0.570730493284156,0.54,0.476,7.39319701800869e-33,"EXO_iCOR1","Solyc08g075870"
4.40004829614654e-55,0.56817851459496,0.636,0.567,9.54898481229723e-51,"EXO_iCOR1","Solyc03g026220"
3.57091098960009e-67,0.568131287717897,0.707,0.657,7.74959102963012e-63,"EXO_iCOR1","Solyc12g005860"
1.21895396095737e-180,0.566239029177613,0.974,0.932,2.64537388606968e-176,"EXO_iCOR1","Solyc04g011510"
6.40252663922037e-93,0.562379957328789,0.796,0.743,1.3894763312436e-88,"EXO_iCOR1","Solyc03g113800"
7.18760549627658e-161,0.562187048003838,0.937,0.88,1.55985414480194e-156,"EXO_iCOR1","Solyc10g054560"
1.53652573462245e-70,0.562125334693334,0.682,0.618,3.33456814927765e-66,"EXO_iCOR1","Solyc10g081820"
4.64365990376212e-45,0.559534825444168,0.59,0.54,1.00776707231446e-40,"EXO_iCOR1","Solyc06g074670"
1.80576710772578e-159,0.551347421125838,0.978,0.945,3.91887577718649e-155,"EXO_iCOR1","Solyc08g075690"
1.37390239064818e-47,0.550862984200667,0.552,0.459,2.98164296818468e-43,"EXO_iCOR1","Solyc04g049920"
1.2812339590606e-50,0.547548395593817,0.645,0.602,2.7805339379533e-46,"EXO_iCOR1","Solyc06g035970"
1.53891303759954e-45,0.543858457071397,0.66,0.644,3.33974907419853e-41,"EXO_iCOR1","Solyc02g082760"
4.45713638748163e-118,0.535849470171243,0.884,0.821,9.67287738811264e-114,"EXO_iCOR1","Solyc10g054590"
4.56073011017064e-77,0.535513328445585,0.745,0.672,9.89769648509232e-73,"EXO_iCOR1","Solyc08g067480"
