"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","clusterName","gene"
0,1.42406837844635,0.655,0.385,0,"Meristem","Os03g0818400"
0,1.42347213978299,0.764,0.524,0,"Meristem","Os04g0349500"
0,1.42194548084751,0.678,0.411,0,"Meristem","Os02g0699600"
0,1.42154940678547,0.616,0.337,0,"Meristem","Os07g0180900"
0,1.41962547138896,0.756,0.525,0,"Meristem","Os02g0175600"
0,1.41936524077914,0.623,0.4,0,"Meristem","Os04g0613600"
0,1.41274272168548,0.716,0.475,0,"Meristem","Os04g0598200"
0,1.41155952182395,0.786,0.577,0,"Meristem","Os01g0328400"
0,1.40714989915222,0.761,0.527,0,"Meristem","Os08g0559200"
0,1.40239539435277,0.57,0.293,0,"Meristem","Os09g0501200"
0,1.39743377936212,0.602,0.335,0,"Meristem","Os12g0167900"
0,1.39569212015293,0.543,0.243,0,"Meristem","Os05g0556900"
0,1.38879162606265,0.626,0.379,0,"Meristem","Os02g0534800"
0,1.38419894799859,0.625,0.344,0,"Meristem","Os03g0390000"
0,1.38336212656362,0.833,0.636,0,"Meristem","Os07g0523700"
0,1.38202982609611,0.542,0.257,0,"Meristem","Os04g0473400"
0,1.38135477532592,0.733,0.543,0,"Meristem","Os07g0614500"
0,1.38116179403684,0.633,0.408,0,"Meristem","Os11g0602500"
0,1.3803092766456,0.648,0.378,0,"Meristem","Os05g0541900"
0,1.3794016374713,0.718,0.504,0,"Meristem","Os03g0576700"
0,1.37885198549287,0.629,0.35,0,"Meristem","Os05g0207300"
0,1.3758943900369,0.514,0.242,0,"Meristem","Os01g0358400"
0,1.37100778333676,0.654,0.408,0,"Meristem","Os02g0478600"
0,1.36855076285895,0.864,0.706,0,"Meristem","Os01g0276000"
0,1.3653913952142,0.635,0.419,0,"Meristem","Os11g0602600"
9.57090401854617e-277,1.364444922778,0.7,0.572,2.8307862815654e-272,"Meristem","Os10g0563700"
0,1.36067102449959,0.639,0.38,0,"Meristem","Os02g0821200"
0,1.35914315630539,0.771,0.554,0,"Meristem","Os07g0565000"
0,1.35899418234232,0.737,0.492,0,"Meristem","Os02g0284600"
0,1.35279855835223,0.799,0.606,0,"Meristem","Os05g0477300"
0,1.34814756924149,0.582,0.325,0,"Meristem","Os02g0321900"
0,1.34394202183226,0.683,0.5,0,"Meristem","Os01g0231700"
0,1.34057564794837,0.774,0.568,0,"Meristem","Os03g0794700"
0,1.3397576393312,0.611,0.383,0,"Meristem","Os08g0156800"
0,1.33365591567796,0.883,0.707,0,"Meristem","gene-atp1"
0,1.32802603981002,0.716,0.494,0,"Meristem","Os08g0130500"
0,1.32646298048361,0.663,0.449,0,"Meristem","Os01g0834600"
0,1.3184849505118,0.521,0.243,0,"Meristem","Os02g0489400"
0,1.31586485264004,0.544,0.268,0,"Meristem","Os05g0346300"
0,1.31422683530793,0.563,0.304,0,"Meristem","Os01g0348700"
0,1.31170036447113,0.67,0.465,0,"Meristem","Os01g0815800"
0,1.3100305207963,0.724,0.514,0,"Meristem","Os12g0124200"
0,1.30628910394192,0.863,0.669,0,"Meristem","Os10g0411700"
0,1.30139250295302,0.602,0.35,0,"Meristem","Os07g0674200"
0,1.30051802944798,0.624,0.399,0,"Meristem","Os01g0938900"
0,1.298906146293,0.571,0.321,0,"Meristem","Os08g0129200"
0,1.29239676954395,0.597,0.326,0,"Meristem","Os06g0115500"
0,1.29121070202498,0.509,0.251,0,"Meristem","Os03g0182600"
0,1.28931634719055,0.643,0.406,0,"Meristem","Os05g0557000"
6.39757073049344e-298,1.28602828095664,0.594,0.37,1.89220949495804e-293,"Meristem","Os02g0586500"
0,1.28499772904174,0.748,0.573,0,"Meristem","Os10g0170200"
0,1.28177353643817,0.786,0.586,0,"Meristem","Os04g0430100"
4.05761613279915e-172,1.27892523017699,0.623,0.474,1.200121123598e-167,"Meristem","Os01g0559900"
1.51436725545509e-209,1.27579587483298,0.622,0.477,4.47904403145951e-205,"Meristem","Os05g0230700"
0,1.27541539018525,0.688,0.488,0,"Meristem","Os08g0530200"
0,1.27468820901793,0.727,0.573,0,"Meristem","Os03g0798600"
0,1.27304512311017,0.537,0.269,0,"Meristem","Os01g0752300"
2.26052845780622e-266,1.27076355881051,0.642,0.454,6.68596501965346e-262,"Meristem","Os07g0641700"
0,1.26429264698104,0.58,0.325,0,"Meristem","Os04g0413600"
1.29705136625189e-281,1.26360381710424,0.557,0.327,3.83628882596321e-277,"Meristem","Os07g0173501"
3.40792606767381e-277,1.26033682536655,0.66,0.498,1.00796229303588e-272,"Meristem","Os06g0555400"
9.26782334862195e-236,1.25227160704728,0.763,0.626,2.74114411182191e-231,"Meristem","gene-rps2-2"
8.65859494712259e-279,1.25145130482828,0.584,0.363,2.56095262751045e-274,"Meristem","Os04g0605900"
0,1.25025685086268,0.622,0.371,0,"Meristem","Os02g0591700"
1.5321967271645e-281,1.24930928281441,0.567,0.333,4.53177825993444e-277,"Meristem","Os04g0501000"
8.08977639238718e-274,1.24764679374203,0.623,0.404,2.39271316357636e-269,"Meristem","Os04g0376000"
2.36497604641226e-298,1.24667067116569,0.556,0.309,6.99488965247353e-294,"Meristem","Os01g0205500"
0,1.24504762951761,0.807,0.635,0,"Meristem","Os03g0234200"
0,1.24091880212868,0.514,0.249,0,"Meristem","Os01g0140500"
2.88383294191957e-280,1.23945503826497,0.637,0.433,8.52951269231551e-276,"Meristem","Os09g0485900"
0,1.23647101847485,0.749,0.567,0,"Meristem","Os07g0546700"
1.20536607038169e-305,1.2337846060778,0.572,0.325,3.56511122636792e-301,"Meristem","Os05g0373700"
